Day,Time,Activity,Location,Duration,Cost per Person (₱),Cost for 2 (₱),Notes,Link
Day 1 (Thu Mar 19),4:00 AM,Depart home by car to Baguio,San Pedro / South Luzon to Baguio,6 hours,0,0,Leave early to arrive ~10 AM Baguio; include gas and tolls separately.,"https://www.google.com/maps/dir/San+Pedro,+Laguna/Baguio+City"
Day 1 (Thu Mar 19),10:00 AM,"Arrival in Baguio, park near Session Road & light walk","Session Road area, Baguio",1.5 hours,0,0,"Stretch legs, quick photo ops while waiting for early lunch.",https://goo.gl/maps/SessionRoad
Day 1 (Thu Mar 19),11:30 AM,Early lunch at Good Taste (budget restaurant),Good Taste Restaurant - Otek or Carino St,1 hour,220,440,Huge servings; rice meals / pancit 150–250 per person.,https://www.tripadvisor.com.ph/Restaurant_Review-g298445-d2033633
Day 1 (Thu Mar 19),12:45 PM,Check-in & rest at accommodation,Your Baguio hotel / Airbnb,2 hours,0,0,Target 2 PM check-in; power nap and shower before afternoon tour.,
Day 1 (Thu Mar 19),3:00 PM,Baguio Cathedral + Session Road walk,Baguio Cathedral & Session Road,1.5 hours,0,0,FREE. Park once and walk; nice intro views of the city.,https://goo.gl/maps/BaguioCathedral
Day 1 (Thu Mar 19),4:30 PM,Burnham Park stroll & optional boating,"Burnham Park, Baguio",1.5 hours,100,200,Entrance FREE. Budget for shared boat/bike rental and snacks.,https://goo.gl/maps/BurnhamPark
Day 1 (Thu Mar 19),6:30 PM,Dinner at Farmers Daughter (Cordilleran food),Farmers Daughter Restaurant (near Tam-awan),1 hour,300,600,Cordilleran dishes; 300–400 per person if sharing dishes.,https://ph.trip.com/guide/food/where-to-eat-in-baguio.html
Day 1 (Thu Mar 19),8:30 PM,Baguio Night Market – ukay-ukay & street food,Harrison Road Night Market,2.5 hours,500,1000,"Budget ~300 for ukay + 200 for street food per person (jackets, hoodies, etc.).",https://www.klook.com/en-PH/blog/ukay-spots-baguio/
Day 1 (Thu Mar 19),11:00 PM,"Return to accommodation, rest",Your Baguio hotel / Airbnb,-,0,0,Good sleep before full day tour next day.,
Day 2 (Fri Mar 20),7:30 AM,Breakfast at nearby cafe or carinderia,Near accommodation / Session Road,45 min,180,360,Budget 150–200 per person for silog / tapsilog style breakfast.,
Day 2 (Fri Mar 20),8:30 AM,Drive to La Trinidad Strawberry Farm,"La Trinidad Strawberry Farm, Benguet",30–40 min,0,0,Entrance FREE; pay only if you pick strawberries.,https://goo.gl/maps/LaTrinidadStrawberry
Day 2 (Fri Mar 20),9:15 AM,Strawberry picking & market pasalubong,La Trinidad Strawberry Farm,1.5 hours,400,800,Picking ~500–700/kg; budget 300–400 per person + snacks and fresh strawberry products.,https://philippinetravels.ph/baguio-strawberry-farm/
Day 2 (Fri Mar 20),11:00 AM,Drive to BenCab Museum,"BenCab Museum, Asin Road",30 min,0,0,Scenic drive via Asin Road.,https://bencabmuseum.org
Day 2 (Fri Mar 20),11:30 AM,Explore BenCab Museum,BenCab Museum,2 hours,350,700,Entrance ~150–200 + light snacks/coffee at Cafe Sabel.,https://in.trip.com/travel-guide/attraction/tuba/bencab-museum-38621600/
Day 2 (Fri Mar 20),1:30 PM,Lunch at Cafe Sabel (inside BenCab),"Cafe Sabel, BenCab Museum",1 hour,450,900,Budget 400–500 per person; order mains + drinks while enjoying the view.,https://bencabmuseum.org
Day 2 (Fri Mar 20),2:45 PM,"Drive back to city, visit Tam-awan Village","Tam-awan Village, Long Long Road",2 hours,150,300,Entrance ~60–100 + light snacks / coffee.,https://goo.gl/maps/Tamawan
Day 2 (Fri Mar 20),5:00 PM,Mines View Park and souvenir area,"Mines View Park, Baguio",1.5 hours,120,240,Entrance ~10–20 + 100 per person souvenir/ snacks budget.,https://goo.gl/maps/MinesView
Day 2 (Fri Mar 20),6:45 PM,Dinner at 50s Diner (budget comfort food),"50s Diner, Session Road area",1 hour,260,520,"Meals ~200–300 per person; burgers, pasta, shakes.",
Day 2 (Fri Mar 20),8:00 PM,Free time – cafe hopping or rest,Session Road cafes / accommodation,2 hours,200,400,Optional coffee and dessert; adjust spending based on budget.,https://www.tripadvisor.com.ph/Restaurants-g298445-zfp16-Baguio_Benguet_Province_Cordillera_Region_Luzon.html
Day 2 (Fri Mar 20),10:30 PM,"Return to accommodation, rest",Your Baguio hotel / Airbnb,-,0,0,Early rest before busy Saturday.,
Day 3 (Sat Mar 21),7:30 AM,Breakfast at local carinderia,Near accommodation,45 min,180,360,Silog or rice meals 150–200 per person.,
Day 3 (Sat Mar 21),8:30 AM,Botanical Garden visit,Baguio Botanical Garden,1.5 hours,150,300,Entrance ~100 + snacks/parking.,https://goo.gl/maps/BaguioBotanical
Day 3 (Sat Mar 21),10:30 AM,The Mansion & Wright Park walk,The Mansion & Wright Park,1.5 hours,50,100,FREE to visit; budget only for optional horse ride photo/ snacks.,https://goo.gl/maps/TheMansion
Day 3 (Sat Mar 21),12:00 PM,Lunch at Cafe by the Ruins or similar,"Cafe by the Ruins, Baguio",1 hour,450,900,Mid-range; mains ~400–600 per person.,https://ph.trip.com/guide/food/where-to-eat-in-baguio.html
Day 3 (Sat Mar 21),1:30 PM,Ukay-ukay round 2 (Bayanihan / Sky World),Bayanihan / Sky World Thrift Areas,1.5 hours,400,800,"Daytime ukay, better for carefully checking pieces; budget higher if you plan big haul.",https://www.klook.com/en-PH/blog/ukay-spots-baguio/
Day 3 (Sat Mar 21),3:30 PM,"Drive from Baguio to San Juan, La Union","Baguio to San Juan, La Union",2.5–3 hours,0,0,Leave mid-afternoon to arrive before sunset; account for mountain traffic.,"https://www.google.com/maps/dir/Baguio+City/San+Juan,+La+Union"
Day 3 (Sat Mar 21),6:30 PM,Check-in at La Union accommodation & sunset beach walk,"Urbiztondo Beach, San Juan",1.5 hours,0,0,"Enjoy golden hour at the beach; no activities yet, just chill.",
Day 3 (Sat Mar 21),8:00 PM,Dinner at Tagpuan or other budget spot,Tagpuan sa San Juan or similar,1 hour,220,440,Rice bowls and Filipino comfort food; 150–220 per person.,https://booky.ph/blog/affordable-san-juan-la-union/
Day 3 (Sat Mar 21),9:30 PM,Free time – bars / cafe hopping / rest,Urbiztondo area,2 hours,250,500,Optional drinks or dessert; you can also rest if on tight budget.,https://thesmartlocal.ph/la-union-restaurants/
Day 4 (Sun Mar 22),7:30 AM,Breakfast near accommodation,Urbiztondo cafes / carinderia,45 min,200,400,Many budget spots 150–250 per person.,https://www.klook.com/en-PH/blog/la-union-food-budget/
Day 4 (Sun Mar 22),8:30 AM,Surfing lesson (beginner),San Juan Surf area,1 hour,650,1300,Typical rate ~600–700 per hour including board and instructor.,https://elementsatvlaunion.setmore.com
Day 4 (Sun Mar 22),9:45 AM,Free swim / chill at beach,Urbiztondo Beach,1.5 hours,0,0,Relax after lesson; photos and rest by the shore.,
Day 4 (Sun Mar 22),11:30 AM,Brunch / early lunch (budget spot),Papa Bear / Seawadeeka / other budget restos,1 hour,280,560,Most La Union food spots have 200–300 meals; pick according to craving.,https://www.klook.com/en-PH/blog/la-union-food-budget/
Day 4 (Sun Mar 22),1:00 PM,Cafe stop (El Union Coffee / Makai Bowls),"The Great Northwest, San Juan",1.5 hours,250,500,Coffee or smoothie bowls ~150–250 each.,https://thesmartlocal.ph/la-union-restaurants/
Day 4 (Sun Mar 22),3:00 PM,Rest at accommodation,Your La Union accommodation,2 hours,0,0,Siesta / shower / downtime.,
Day 4 (Sun Mar 22),5:30 PM,Sunset walk + street food / snacks,Urbiztondo Beach / food stalls,1.5 hours,200,400,Light snacks or shared appetizers from beachside stalls.,
Day 4 (Sun Mar 22),7:30 PM,Dinner at another budget La Union resto,Elyu food strip,1.5 hours,280,560,Budget for mains + shared dessert.,https://booky.ph/blog/affordable-san-juan-la-union/
Day 4 (Sun Mar 22),9:30 PM,Optional drinks / social night or rest,Urbiztondo bars / accommodation,2 hours,250,500,Bar hopping if you like; otherwise cost can be 0 if you rest.,
Day 5 (Mon Mar 23),8:00 AM,Breakfast (light),Near accommodation,45 min,180,360,Carinderia or cafe breakfast.,
Day 5 (Mon Mar 23),9:00 AM,Free time – second surf or chill,Urbiztondo Beach,2 hours,650,1300,You may do another 1-hour surf lesson / board rental; set to 0 if skipping.,https://elementsatvlaunion.setmore.com
Day 5 (Mon Mar 23),11:30 AM,Early lunch / brunch,San Juan food spots,1 hour,250,500,Another try of recommended La Union restos.,https://www.willflyforfood.net/san-juan-food-guide-where-to-eat-in-la-union-philippines/
Day 5 (Mon Mar 23),1:00 PM,Drive back to Baguio,San Juan to Baguio,2.5–3 hours,0,0,Return to cooler climate; alternative is drive home directly if you want shorter trip.,"https://www.google.com/maps/dir/San+Juan,+La+Union/Baguio+City"
Day 5 (Mon Mar 23),4:30 PM,Check-in Baguio accommodation & rest,Your Baguio hotel / Airbnb,1.5 hours,0,0,Settle back in Baguio.,
Day 5 (Mon Mar 23),6:30 PM,Dinner at another cheap eats spot (Good Taste / carinderia),Session Road area,1 hour,220,440,Repeat favorite budget place or try new cheap eat.,https://www.tripadvisor.com.ph/Restaurants-g298445-zfp16-Baguio_Benguet_Province_Cordillera_Region_Luzon.html
Day 5 (Mon Mar 23),8:00 PM,Optional second visit to Night Market,Harrison Road Night Market,2 hours,400,800,Extra ukay and last-minute pasalubong.,https://traveloka.com/en-my/explore/tips/explore-baguio-night-market-acc/408994
Day 6 (Tue Mar 24),8:00 AM,Breakfast,Near accommodation,45 min,180,360,Standard breakfast budget.,
Day 6 (Tue Mar 24),9:00 AM,Camp John Hay historical core & nature walk,"Camp John Hay, Baguio",3 hours,250,500,Entrance ~85 + snacks/ coffee budget.,https://www.campjohnhay.com/explore.html
Day 6 (Tue Mar 24),12:30 PM,Lunch at Camp John Hay or nearby,Camp John Hay area,1 hour,300,600,Many mid-range restos; you can also look for cheaper options.,
Day 6 (Tue Mar 24),2:00 PM,Baguio Public Market pasalubong shopping,Baguio Public Market,2 hours,600,1200,"Strawberry jam, ube jam, coffee, walis, etc.; adjust based on pasalubong budget.",https://goo.gl/maps/BaguioMarket
Day 6 (Tue Mar 24),4:30 PM,Cafe or viewpoint of choice (Mirador / others),Mirador Heritage & Eco Park or similar,2 hours,200,400,Entrance ~100 + coffee/snack budget.,https://thepinaysolobackpacker.com/baguio-tourist-spot/
Day 6 (Tue Mar 24),7:00 PM,Special last-night dinner (Hill Station or similar),"Hill Station, Casa Vallejo",1.5 hours,800,1600,Splurge night; mains 600–1000 per person.,https://ph.trip.com/guide/food/where-to-eat-in-baguio.html
Day 6 (Tue Mar 24),9:00 PM,Pack and rest,Accommodation,-,0,0,Prepare for early departure next day.,
Day 7 (Wed Mar 25),7:30 AM,Breakfast & check-out,Accommodation,1.5 hours,200,400,Light breakfast and final check of room.,
Day 7 (Wed Mar 25),9:00 AM,Drive back home by car,Baguio to San Pedro / South Luzon,6–7 hours,0,0,Include gas and tolls in separate transport budget.,"https://www.google.com/maps/dir/Baguio+City/San+Pedro,+Laguna"
