Day,Time,Activity,Location,Duration,Cost per Person (₱),Cost for 2 (₱),Notes,Link,Destination,Latitude,Longitude
Thu 19 Mar,01:00-07:00,Drive San Pedro to Baguio,NLEX / TPLEX to Baguio,~6 hrs,,,Private car drive; include rest stops every 1.5–2 hrs. Fuel/tolls not in budget.,,Baguio,16.4023,120.5960
Thu 19 Mar,07:30-08:30,Breakfast at Good Taste,"Good Taste Restaurant, near Burnham Park",1 hr,150,300,"Order rice meals or pancit; generous servings, good for sharing to save budget.",https://tarasamaka709472055.wordpress.com/2017/12/17/where-to-eat-in-baguio/,Baguio,16.4117,120.5975
Thu 19 Mar,08:30-10:00,Check-in / freshen up,VellaVita 8 Airbnb,1.5 hrs,0,0,"Drop bags, rest from drive. If early check-in not allowed, leave luggage at front desk.",,Baguio,16.4095,120.5960
Thu 19 Mar,10:00-12:00,Stroll around Burnham Park,Burnham Park,2 hrs,0,0,Walk around lake and gardens; optional boat/bike rentals at extra cost if you want.,https://traveloka.com/en-ph/explore/tips/explore-baguio-night-market-acc/408994,Baguio,16.40933,120.59519
Thu 19 Mar,12:00-13:00,"Lunch near Burnham (e.g., Canto Bogchi Joint)",Kisad Rd area,1 hr,300,600,Target ~₱250–350 each for mains and shared sides.,https://primer.com.ph/food/location/philippines/baguio-northern-luzon/canto-bogchi-joint/,Baguio,16.4068,120.5925
Thu 19 Mar,13:00-16:00,Free time / rest at accommodation,VellaVita 8 Airbnb,3 hrs,0,0,Nap and adjust from overnight drive; prepare for cooler night temps.,,Baguio,16.4095,120.5960
Thu 19 Mar,16:00-18:00,Session Road walk and coffee,Session Rd area,2 hrs,200,400,Explore shops and cafés; budget for coffee and light snacks only.,https://en.wikipedia.org/wiki/Session_Road,Baguio,16.4123,120.5950
Thu 19 Mar,19:00-21:30,Baguio Night Market (ukay + street food dinner),Harrison Rd Night Market,2.5 hrs,300,600,Allocate ~₱150–200 for food and ₱100–150 for small thrift finds this first night.,https://philippinetravels.ph/baguio-night-market/,Baguio,16.4105,120.5958
Fri 20 Mar,08:00-09:00,Breakfast,Near accommodation or Good Taste,1 hr,150,300,Simple silog or rice meals to start day.,,Baguio,16.4117,120.5975
Fri 20 Mar,09:00-10:00,Drive to Mines View area,City center to Mines View,1 hr,0,0,Allow buffer for traffic and parking near Mines View / Good Shepherd.,http://www.cityofpines.com/minesviewpark.html,Baguio,16.41969,120.62737
Fri 20 Mar,10:00-11:00,Mines View Park sightseeing,Mines View Park,1 hr,10,20,"Pay entrance fee, take photos at view deck, browse souvenir stalls.",http://www.cityofpines.com/minesviewpark.html,Baguio,16.41969,120.62737
Fri 20 Mar,11:00-11:45,Good Shepherd pasalubong stop,Good Shepherd Convent,45 mins,200,400,Budget ~₱300–400 for jams and treats shared; ~₱200 per person estimate here.,https://www.tripadvisor.com/Attraction_Review-g298445-d2038170-Reviews-Good_Shepherd_Convent-Baguio.html,Baguio,16.4200,120.6265
Fri 20 Mar,12:00-13:00,Lunch near Mines View,Mines View / Gibraltar area,1 hr,250,500,Eat at a nearby casual eatery; aim for ≤₱250 per person.,,Baguio,16.4200,120.6260
Fri 20 Mar,13:15-14:30,Wright Park & The Mansion stroll,Wright Park and Mansion area,1.25 hrs,0,0,"Walk the pool of pines, take photos with The Mansion façade; horseback riding optional extra.",https://baguio.gov.ph/visitors/wright-park,Baguio,16.4125,120.6225
Fri 20 Mar,14:45-16:00,Baguio Botanical Garden visit,Baguio Botanical Garden,1.25 hrs,10,20,Light walking through themed gardens and Cordilleran village displays.,https://baguio.gov.ph/visitors/baguio-botanical-garden,Baguio,16.394786,120.613248
Fri 20 Mar,16:00-18:00,Back to hotel / rest,VellaVita 8 Airbnb,2 hrs,0,0,"Warm up, change and rest before dinner.",,Baguio,16.4095,120.5960
Fri 20 Mar,18:30-20:00,Dinner at Canto Bogchi Joint,"Canto Bogchi Joint, Kisad Rd",1.5 hrs,400,800,Share ribs and sides; budget ~₱350–450 per person including drinks.,https://primer.com.ph/food/location/philippines/baguio-northern-luzon/canto-bogchi-joint/,Baguio,16.4068,120.5925
Sat 21 Mar,07:30-08:00,Light breakfast,Near accommodation,30 mins,150,300,Quick silog or bread and coffee before drive to La Trinidad.,,Baguio,16.4095,120.5960
Sat 21 Mar,08:00-08:45,Drive to La Trinidad Strawberry Farm,Baguio to La Trinidad,45 mins,0,0,Expect some traffic; park near farm entrance.,https://www.edmaration.com/2015/07/how-to-go-strawberry-farm-from-baguio.html,Baguio,16.457996,120.586619
Sat 21 Mar,09:00-10:30,Strawberry-picking experience,La Trinidad Strawberry Farm,1.5 hrs,350,700,Estimate ~₱700 per kilo for picking shared by two; ~₱350 per person.,https://www.youtube.com/watch?v=eFnLfMbckw0,Baguio,16.457996,120.586619
Sat 21 Mar,10:30-11:00,Market stalls and quick snacks,Strawberry Farm market area,30 mins,150,300,Sample strawberry taho and local snacks; small budget for tasting and souvenirs.,,Baguio,16.457996,120.586619
Sat 21 Mar,11:00-12:00,Drive back toward Baguio for lunch,La Trinidad to Baguio,1 hr,0,0,Head back toward city for lunch stop.,,Baguio,16.4123,120.5950
Sat 21 Mar,12:00-13:00,Lunch in city (flexible spot),Baguio city center,1 hr,250,500,Pick any mid-range spot around Session Road or SM Baguio.,https://en.wikipedia.org/wiki/Session_Road,Baguio,16.4123,120.5950
Sat 21 Mar,13:30-14:00,Drive to BenCab Museum,City to BenCab via Asin Rd,30 mins,0,0,Allow buffer for traffic along Asin Road.,http://www.bencabmuseum.org,Baguio,16.4107,120.5504
Sat 21 Mar,14:00-16:00,BenCab Museum tour and merienda,BenCab Museum,2 hrs,400,800,₱200 entrance + ~₱200 for coffee/snack at Cafe Sabel per person.,http://www.bencabmuseum.org,Baguio,16.4107,120.5504
Sat 21 Mar,16:00-17:00,Drive back to Baguio / hotel,BenCab to hotel,1 hr,0,0,Return to accommodation and rest before dinner.,,Baguio,16.4095,120.5960
Sat 21 Mar,18:30-20:00,Dinner at Cafe by the Ruins DUA or similar,Cafe by the Ruins DUA area,1.5 hrs,400,800,Enjoy Cordilleran-inspired dishes and bread; budget ~₱350–450 each.,,Baguio,16.412983,120.591753
Sun 22 Mar,08:00-09:00,Breakfast,Near accommodation,1 hr,150,300,Relaxed start; Sunday can be crowded in parks and churches.,,Baguio,16.4095,120.5960
Sun 22 Mar,09:00-09:30,Drive to Tam-Awan Village,City to Tam-Awan,30 mins,0,0,Steep and narrow roads; use low gear and park in designated area.,https://www.mypacer.com/parks/201008/tam-awan-village-baguio,Baguio,16.43007,120.57668
Sun 22 Mar,09:30-11:00,Explore Tam-Awan Village,Tam-Awan Village,1.5 hrs,50,100,"Pay entrance, explore huts and galleries, take photos at view decks.",https://www.mypacer.com/parks/201008/tam-awan-village-baguio,Baguio,16.43007,120.57668
Sun 22 Mar,11:00-12:00,Lunch at Farmer's Daughter Restaurant,Farmer's Daughter beside Tam-Awan,1 hr,400,800,"Order Cordilleran dishes; sharable plates, budget ~₱350–450 each.",https://diytrip.travel.blog/2016/08/18/farmers-daughter-restaurant/,Baguio,16.43007,120.57668
Sun 22 Mar,12:00-13:00,Drive to Arca's Yard via Ambuklao Rd,Tam-Awan to Arca's Yard,1 hr,0,0,Scenic but winding road; park near café (limited slots).,https://www.youtube.com/watch?v=e4hxOf5xPHc,Baguio,16.4150,120.5600
Sun 22 Mar,13:00-15:00,Coffee and view time at Arca's Yard,Arca's Yard Cafe,2 hrs,250,500,"Get coffee, kamote pie or light meals while enjoying mountain views.",https://www.youtube.com/watch?v=e4hxOf5xPHc,Baguio,16.4150,120.5600
Sun 22 Mar,15:00-16:00,Drive back to city / hotel,Ambuklao Rd back to CBD,1 hr,0,0,Return before evening rush and possible fog.,,Baguio,16.4095,120.5960
Sun 22 Mar,16:30-18:30,Free time or Camp John Hay walk,Camp John Hay area,2 hrs,0,0,Optional light walk among pine trees and cafés; no fixed spending.,https://www.tageo.com/index-e-rp-v-10-d-m3337658.htm,Baguio,16.3973,120.61626
Sun 22 Mar,19:00-22:00,Night Market thrifting focus + street food,Harrison Rd Night Market,3 hrs,500,1000,Increase ukay budget (~₱350–400 clothes + ₱100–150 food).,https://philippinetravels.ph/baguio-night-market/,Baguio,16.4105,120.5958
Mon 23 Mar,08:00-09:00,Breakfast and hotel checkout,VellaVita 8 Airbnb,1 hr,150,300,Target checkout by 09:00 to avoid midday heat on drive.,,Baguio,16.4095,120.5960
Mon 23 Mar,09:00-11:00,"Drive Baguio to San Juan, La Union",Baguio to San Juan via Marcos Hwy / Naguilian Rd,2 hrs,0,0,Estimated 1.5–2.5 hrs depending on traffic and weather.,https://raescape.com/2019/05/san-juan-la-union-your-quick-getaway.html,La Union,16.6720,120.3628
Mon 23 Mar,11:00-12:00,Check-in at Elyu accommodation,"San Juan, La Union",1 hr,0,0,Park and settle; choose beachfront if possible to minimize walking.,,La Union,16.6584,120.3214
Mon 23 Mar,12:00-13:00,Lunch at Tagpuan sa San Juan,Tagpuan sa San Juan,1 hr,150,300,Budget-friendly rice bowls; good post-drive meal.,https://thegame-onemega.com/lifestyle/3-reasons-why-tagpuan-should-be-every-la-union-surfers-go-to-restaurant/,La Union,16.6586,120.3220
Mon 23 Mar,13:00-16:30,Beach chill and optional first surf board rental,Urbiztondo Beach,3.5 hrs,200,400,Allocate ~₱200 per person if you rent a board for an hour; otherwise free beach time.,https://www.surf-forecast.com/breaks/Urbiztondo-Beach,La Union,16.6584642,120.321446
Mon 23 Mar,16:30-18:00,Sunset coffee at El Union / Clean Beach,Urbiztondo café strip,1.5 hrs,250,500,Coffee + snack budget; pick El Union or Clean Beach depending on vibe.,https://www.pepper.ph/el-union-coffee-la-union/,La Union,16.6584642,120.321446
Mon 23 Mar,18:30-20:30,Dinner at Kabsat or similar beachfront resto,Kabsat La Union,2 hrs,400,800,Order shared mains and drinks; busy during sunset and evenings.,https://kbhmedina.wordpress.com/2022/08/08/la-union-food-crawl/,La Union,16.6587,120.3225
Tue 24 Mar,07:30-08:00,Quick breakfast,Elyu area,30 mins,150,300,Eat light but filling meal before hike (silog / rice bowl).,,La Union,16.6584,120.3214
Tue 24 Mar,08:00-09:00,Drive to San Gabriel municipal hall (Tangadan registration),San Juan to San Gabriel,1 hr,0,0,"Park near municipal hall, register and hire guide.",https://www.tripadvisor.ca/Attraction_Review-g9798037-d9792156-Reviews-Tangadan_Falls.html,La Union,16.6780,120.4000
Tue 24 Mar,09:00-12:00,Guided hike and swimming at Tangadan Falls,Tangadan Falls,3 hrs,450,900,Budget: ₱50 pass + ~₱700 guide + ₱100 parking split by 2 ≈ ₱450 per person.,https://www.tripadvisor.ca/Attraction_Review-g9798037-d9792156-Reviews-Tangadan_Falls.html,La Union,16.6690,120.4123
Tue 24 Mar,12:00-13:00,Late lunch in San Gabriel or back in San Juan,San Gabriel / San Juan,1 hr,300,600,Post-hike meal; simple carinderia or San Juan café.,,La Union,16.6586,120.3220
Tue 24 Mar,13:00-15:00,Rest at accommodation,Elyu lodging,2 hrs,0,0,Shower and rest after falls and drive.,,La Union,16.6584,120.3214
Tue 24 Mar,15:00-17:30,Beach time or light surf,Urbiztondo Beach,2.5 hrs,200,400,Optional board rental again (~₱200/hr); or just relax on the sand.,https://www.surf-forecast.com/breaks/Urbiztondo-Beach,La Union,16.6584642,120.321446
Tue 24 Mar,17:30-19:00,Sunset drinks / coffee at beach cafés,Urbiztondo café strip,1.5 hrs,250,500,Budget for coffee or a drink plus shared snacks.,https://www.gmanetwork.com/entertainment/showbiznews/coffee-havens-in-elyu/52509/,La Union,16.6584642,120.321446
Tue 24 Mar,19:00-22:00,"Dinner and nightlife (Flotsam, Kabsat, etc.)",Urbiztondo bars and restos,3 hrs,600,1200,Allocate higher budget for food + a couple of drinks.,https://raescape.com/2019/05/san-juan-la-union-your-quick-getaway.html,La Union,16.6589,120.3313
Wed 25 Mar,07:30-08:30,Smoothie bowl breakfast at Makai Bowls,"Makai Bowls, Great Northwest",1 hr,220,440,Healthy smoothie bowl breakfast with beach view.,https://wanderlog.com/place/details/2265469/makai-bowls,La Union,16.6584642,120.321446
Wed 25 Mar,08:30-10:00,Surf lesson with instructor,Urbiztondo Beach surf schools,1.5 hrs,500,1000,Estimate ₱400–600/hr including board and instructor; use ₱500 per person.,https://www.youtube.com/watch?v=afcSL6Yjn2Q,La Union,16.6584642,120.321446
Wed 25 Mar,10:00-11:30,"Shower, pack, and check-out",Elyu accommodation,1.5 hrs,0,0,Final packing and check-out around late morning.,,La Union,16.6584,120.3214
Wed 25 Mar,11:30-12:30,Early lunch in San Juan (Tagpuan / Clean Beach),"San Juan, La Union",1 hr,250,500,Light lunch before long drive; pick preferred spot.,,La Union,16.6589,120.3313
Wed 25 Mar,12:30-13:00,"Quick pasalubong stop (coffee, shirts, snacks)",Urbiztondo shops,30 mins,200,400,Allocate small budget for Elyu souvenirs.,,La Union,16.6589,120.3313
Wed 25 Mar,13:00-19:00,Drive back to San Pedro,San Juan to San Pedro via TPLEX/NLEX,~6 hrs,0,0,Allow rest and fuel stops; arrival time depends on traffic.,,La Union,,
